,美食,酒店,购物中心$百货商场$$家居建材$家电数码,超市$便利店$商铺,生活服务,美容$美发,旅游景点,休闲娱乐,运动健身,教育培训,医疗,汽车服务,飞机场$火车站$地铁站$加油加气站$长途汽车站$公交车站$公交线路口,银行$ATM$信用社,住宅区$宿舍,公司$写字楼,政府机构
85,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
91,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
92,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,2,1
93,0,0,0,12,0,0,0,0,0,0,0,0,1,0,2,11,1
94,12,0,16,15,7,6,0,0,0,0,0,5,7,0,6,51,1
95,4,0,0,6,2,1,0,0,0,0,0,12,1,0,4,60,6
96,60,19,6,104,60,37,2,26,8,6,16,48,15,26,96,63,18
97,60,19,28,156,60,65,5,22,4,6,29,27,5,23,91,68,22
98,60,25,60,147,60,69,8,29,7,10,20,26,11,20,106,86,17
99,58,7,5,57,30,10,6,16,5,7,2,8,13,15,39,69,22
100,5,0,0,0,3,0,0,4,1,0,0,0,1,0,2,3,0
101,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
104,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
106,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,1,0
107,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
108,21,1,47,31,9,5,0,3,0,0,6,1,1,3,19,57,1
109,20,0,60,26,13,4,0,2,1,1,3,13,7,0,20,62,4
110,60,7,25,128,51,36,2,9,4,5,18,29,9,28,80,74,20
111,48,6,55,42,29,22,2,12,3,1,4,60,13,9,79,64,19
112,27,11,3,14,20,4,4,3,0,0,3,12,10,2,42,15,3
113,60,18,24,102,60,70,3,41,9,13,19,29,11,44,105,103,16
114,60,53,15,104,60,100,13,60,19,22,19,9,13,52,107,115,60
115,43,1,2,24,16,0,11,15,7,0,0,3,4,1,2,42,13
116,2,4,0,3,2,0,1,1,0,0,0,0,5,0,12,8,2
117,20,9,1,25,20,14,0,4,2,4,6,10,14,18,64,32,4
118,7,4,2,18,16,8,2,5,3,4,2,1,6,3,86,25,5
119,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
121,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,3,0
122,0,0,1,3,1,0,1,1,1,0,0,0,1,0,0,5,1
123,10,0,10,11,7,0,0,0,0,0,0,0,1,0,1,10,3
124,37,4,60,47,28,8,8,8,4,0,7,12,9,7,50,52,12
125,60,20,61,93,28,16,0,10,1,0,14,15,12,15,62,66,13
126,51,13,60,44,26,17,2,21,2,2,12,23,14,25,106,46,35
127,60,8,38,113,60,67,3,31,5,4,24,38,9,33,120,84,21
128,60,28,51,105,60,42,5,37,3,8,18,45,9,18,113,85,34
129,60,20,25,164,60,53,1,52,3,11,31,11,16,65,120,120,60
130,60,25,24,133,47,23,7,14,2,5,16,4,9,15,120,88,47
131,25,7,3,65,12,4,3,7,0,2,4,7,9,3,79,40,23
132,60,18,7,77,60,35,22,20,17,12,10,11,9,21,120,51,26
133,28,11,8,34,28,8,1,7,5,5,7,10,9,7,92,28,24
134,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
135,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
137,15,3,3,23,9,4,2,1,1,0,2,2,1,5,14,4,2
