,美食,酒店,购物中心$百货商场$$家居建材$家电数码,超市$便利店$商铺,生活服务,美容$美发,旅游景点,休闲娱乐,运动健身,教育培训,医疗,汽车服务,飞机场$火车站$地铁站$加油加气站$长途汽车站$公交车站$公交线路口,银行$ATM$信用社,住宅区$宿舍,公司$写字楼,政府机构
215,8,1,1,7,14,6,1,1,1,5,0,14,8,4,44,83,11
216,11,3,3,7,11,5,0,3,2,7,0,7,5,0,41,34,5
217,60,6,7,66,24,8,7,11,6,21,3,3,8,6,80,23,17
218,4,2,0,1,5,0,5,2,20,9,1,1,2,2,14,9,4
219,4,0,0,5,12,0,48,1,0,0,0,0,3,0,4,0,0
220,1,2,0,1,4,0,20,1,0,0,0,0,1,0,0,0,0
221,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
222,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
223,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,2,0
224,14,3,3,22,7,12,0,2,1,11,4,4,8,0,59,9,9
225,0,0,0,0,0,0,0,2,1,0,0,0,1,0,11,1,1
